tic_id,period,epoch,rp_rs,inclination,a_rs,model_flux,chi2,red_chi2,rmse,mae,bic,aic,dof,n_obs,optimization_history,success,best_method,initial_params,t_zoom,f_zoom,t_full,f_full,phase_full,phase_best,planet_radius_rjup,planet_radius_rearth,transit_depth_pct,impact_parameter,transit_duration_hours,equilibrium_temp,transit_probability_pct
158002130,9.69680796081427,1691.047695410834,0.02605044817113016,90.0,28.2815952013837,[1. 1. 1. ... 1. 1. 1.],3.914292194589882e-05,5.041592213536685e-09,0.0011002373112506622,0.0008717914338946736,44.789522817674055,10.007768113680672,7764,7769,"{'L-BFGS-B': {'success': True, 'fun': np.float64(3.914292194589882e-05), 'nit': 3, 'x': [9.69680796081427, 1691.047695410834, 0.02605044817113016, 90.0, 28.2815952013837], 'message': 'CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL'}, 'Powell': {'success': True, 'fun': np.float64(3.941389917833537e-05), 'nit': 2, 'x': [9.891091587116124, 1691.548378467312, 0.054334685902280175, 86.45903559772353, 33.9378736982638], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(3.941389917833537e-05), 'nit': 19, 'x': [9.697181747690202, 1691.0484445742734, 0.036247282864294794, 85.5, 28.281589831650134], 'message': 'Optimization terminated successfully.'}}",True,L-BFGS-B,"{'tic_id': 158002130, 'sector': 14, 'period': 9.697181747690202, 'epoch': 1691.0484445742734, 'duration': 0.1130980841286327, 'duration_hours': 2.714354019087185, 'depth': 0.9986861344849558, 'depth_ppm': 1313.8655150441991, 'sde': 16.578593438554456, 'transit_snr': 13.124770213676527, 'rp_rs': np.float64(0.036247282864294794), 'a_rs': 28.281589831650134, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 4738.0, 'stellar_radius': 0.73, 'stellar_mass': 0.75, 'equilibrium_temp': 629.9820115932732, 'transit_probability': 5.552128315169042, 'planet_radius_earth': 0.2574872859732904, 'planet_radius_jupiter': 0.0027191620561579735, 'quality_flag': 'PASS', 'detector': 'TLS', 'class_name': 'Planet'}","[1683.35193017 1683.35331907 1683.35470796 ... 1710.19944185 1710.20083077
 1710.20221969]",[0.99948829 0.99980068 1.00049729 ... 1.00133364 1.00012454 1.000091  ],"[1683.35193017 1683.35331907 1683.35470796 ... 1710.19944185 1710.20083077
 1710.20221969]",[0.99948829 0.99980068 1.00049729 ... 1.00133364 1.00012454 1.000091  ],"[ 0.20631431  0.20645753  0.20660076 ... -0.02509659 -0.02495336
 -0.02481013]","[ 0.20636097  0.2065042   0.20664744 ... -0.02494321 -0.02479997
 -0.02465674]",0.001954226209949189,0.18505274514188533,0.06786258499167364,1.7317482519077845e-15,2.6881301613921,629.981951786963,555.2127261004679
460396820,2.340503651166461,2693.5976088098787,0.09846647892559468,90.0,17.150432486261952,[1. 1. 1. ... 1. 1. 1.],0.00012727940707100852,1.2144981590745086e-07,0.004027351174717491,0.0027955882287258728,34.79711984007695,10.057433869664951,1048,1053,"{'L-BFGS-B': {'success': True, 'fun': np.float64(0.00014596694452906074), 'nit': 17, 'x': [2.3399987464158665, 2693.60033718027, 0.09887804464560612, 90.0, 21.437884842747224], 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH'}, 'Powell': {'success': True, 'fun': np.float64(0.00022688144626585469), 'nit': 1, 'x': [2.3407101867537516, 2693.8589565662865, 0.15261261384539954, 89.99994473977962, 25.725599419425958], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(0.00012727940707100852), 'nit': 527, 'x': [2.340503651166461, 2693.5976088098787, 0.09846647892559468, 90.0, 17.150432486261952], 'message': 'Optimization terminated successfully.'}}",True,Nelder-Mead,"{'tic_id': 460396820, 'sector': 51, 'period': 2.3397976023103286, 'epoch': 2693.5949713459, 'duration': 0.038276655286026376, 'duration_hours': 0.918639726864633, 'depth': 0.9896430176358653, 'depth_ppm': 10356.982364134738, 'sde': 16.932605386887882, 'transit_snr': 51.843232620797544, 'rp_rs': np.float64(0.10176926040870464), 'a_rs': 21.43804060782744, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 6075.0, 'stellar_radius': 1.42, 'stellar_mass': 1.43, 'equilibrium_temp': 927.7666131407435, 'transit_probability': 14.247665452815697, 'planet_radius_earth': 1.406249675712689, 'planet_radius_jupiter': 0.014850522600479196, 'quality_flag': 'PASS', 'detector': 'TLS', 'class_name': 'Planet'}","[2698.40892988 2698.41031879 2698.41170769 ... 2717.16858202 2717.16997089
 2717.17135975]",[1.00191981 1.00141847 0.99783804 ... 1.00020846 1.00300077 0.99917242],"[2692.95886092 2692.96024983 2692.96163874 ... 2717.53663152 2717.53802038
 2717.53940925]",[0.99885392 0.99901723 0.99734907 ... 0.99616633 0.9990212  0.99759218],"[-0.27186558 -0.27127197 -0.27067837 ...  0.23236375  0.23295733
  0.23355092]","[-0.27291044 -0.27231702 -0.2717236  ...  0.22815012  0.22874353
  0.22933693]",0.014368569298839857,1.3606117751234457,0.9695647472004576,1.0501611124146741e-15,1.1459872967223304,1037.274607118726,1780.958181601962
152476657,3.6106469669599237,1411.730058244494,0.06252150890661923,88.86579139260635,8.775073717310526,[1. 1. 1. ... 1. 1. 1.],0.00010979052441067351,1.5995123020203018e-08,0.0016614559537783912,0.0013075755404919967,44.173978861593824,10.008852322944636,6864,6869,"{'L-BFGS-B': {'success': True, 'fun': np.float64(0.00011510742879550343), 'nit': 8, 'x': [3.6109853099120954, 1411.7254546450179, 0.06383418266595124, 90.0, 10.96871905249185], 'message': 'CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL'}, 'Powell': {'success': True, 'fun': np.float64(0.00016499550150716807), 'nit': 1, 'x': [3.611116920668305, 1412.077915065463, 0.035438686393246946, 80.72952903448302, 13.162574208539088], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(0.00010979052441067351), 'nit': 596, 'x': [3.6106469669599237, 1411.730058244494, 0.06252150890661923, 88.86579139260635, 8.775073717310526], 'message': 'Optimization terminated successfully.'}}",True,Nelder-Mead,"{'tic_id': 152476657, 'sector': 4, 'period': 3.6119376981454336, 'epoch': 1411.7247742970264, 'duration': 0.1122327651196769, 'duration_hours': 2.693586362872246, 'depth': 0.9949937582867358, 'depth_ppm': 5006.241713264248, 'sde': 16.56164114451305, 'transit_snr': 69.24880894932559, 'rp_rs': np.float64(0.0707547999309181), 'a_rs': 10.968841094505153, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 6450.0, 'stellar_radius': 1.68443, 'stellar_mass': 1.393, 'equilibrium_temp': 1377.096404403291, 'transit_probability': 33.031833181866205, 'planet_radius_earth': 1.1597552509191495, 'planet_radius_jupiter': 0.012247449270394057, 'quality_flag': 'PASS', 'detector': 'TLS', 'class_name': 'Planet'}","[1410.91472708 1410.91611599 1410.9175049  ... 1436.51753238 1436.51892125
 1436.52031012]",[0.99724111 0.99983977 0.99693254 ... 0.99999729 1.00222629 1.00303328],"[1410.90500474 1410.90639364 1410.90778255 ... 1436.51753238 1436.51892125
 1436.52031012]",[0.9959932  0.99593214 0.99842419 ... 0.99999729 1.00222629 1.00303328],"[-0.22696116 -0.22657663 -0.22619209 ... -0.13588435 -0.13549983
 -0.1351153 ]","[-0.22850573 -0.22812106 -0.22773639 ... -0.13489401 -0.13450935
 -0.13412469]",0.010822290634556716,1.0248018271641681,0.39089390759604603,0.17369715899648333,3.303505705918726,1539.6405120668685,4128.978751680968
27318774,3.242390213189765,2422.9107370667107,0.0930241710611269,89.99988282371399,9.3245259049755,[1. 1. 1. ... 1. 1. 1.],0.10951066561226194,1.4119477257898652e-05,0.019788898523048517,0.015760991387523224,44.89384301988296,10.117247609519419,7756,7761,"{'L-BFGS-B': {'success': True, 'fun': np.float64(0.10951066561644654), 'nit': 35, 'x': [3.242390350061095, 2422.910737000924, 0.09302335917804841, 90.0, 9.324499577727108], 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH'}, 'Powell': {'success': True, 'fun': np.float64(0.11129747048745744), 'nit': 1, 'x': [3.242651517141766, 2422.4431910175567, 0.057714658804341415, 80.72952903448302, 12.856481599941144], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(0.10951066561226194), 'nit': 340, 'x': [3.242390213189765, 2422.9107370667107, 0.0930241710611269, 89.99988282371399, 9.3245259049755], 'message': 'Optimization terminated successfully.'}}",True,Nelder-Mead,"{'tic_id': 27318774, 'sector': 41, 'period': 3.243644060654617, 'epoch': 2422.9024770730193, 'duration': 0.10748100798285842, 'duration_hours': 2.579544191588602, 'depth': 0.9867066628349829, 'depth_ppm': 13293.337165017127, 'sde': 14.959567212009405, 'transit_snr': 14.59468380757685, 'rp_rs': np.float64(0.11529673527475584), 'a_rs': 10.713762594408118, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 5958.0, 'stellar_radius': 1.09, 'stellar_mass': 1.07, 'equilibrium_temp': 1287.106524267688, 'transit_probability': 21.883910659759678, 'planet_radius_earth': 1.2229282587449275, 'planet_radius_jupiter': 0.012914579863673309, 'quality_flag': 'PASS', 'detector': 'TLS', 'class_name': 'Planet'}","[2419.99162673 2419.99301563 2419.99440453 ... 2446.30142678 2446.30281567
 2446.30420455]",[1.01673272 1.02044247 0.98473813 ... 1.02368538 0.99991015 1.00781868],"[2419.99162673 2419.99301563 2419.99440453 ... 2446.57781508 2446.57920397
 2446.58059285]",[1.01673272 1.02044247 0.98473813 ... 1.04635315 1.03564146 0.9942223 ],[0.10259872 0.10302691 0.1034551  ... 0.29899384 0.29942202 0.29985021],[0.09970419 0.10013254 0.1005609  ... 0.29926889 0.29969724 0.30012559],0.010419792750922497,0.9866878473694503,0.8653496401609839,1.906969978766501e-05,2.9102431971737612,1379.6601525012622,2514.4337185099853
262662119,4.531603020824527,2450.1257929496014,0.08599448563207651,89.99991470230952,15.393309179630066,[1. 1. 1. ... 1. 1. 1.],0.0007188930041669574,2.2298170104434162e-07,0.0038247690878633177,0.00301880983654987,40.40035774679554,10.019335089094767,3224,3229,"{'L-BFGS-B': {'success': True, 'fun': np.float64(0.0007511909412211411), 'nit': 16, 'x': [4.533339386966048, 2450.1350533901846, 0.08696434511910008, 90.0, 19.24096450598811], 'message': 'CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL'}, 'Powell': {'success': True, 'fun': np.float64(0.0009140623811793614), 'nit': 1, 'x': [4.534898186415561, 2449.7716260645457, 0.050247360274682414, 84.2705650914688, 23.089918802042515], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(0.0007188930041669574), 'nit': 534, 'x': [4.531603020824527, 2450.1257929496014, 0.08599448563207651, 89.99991470230952, 15.393309179630066], 'message': 'Optimization terminated successfully.'}}",True,Nelder-Mead,"{'tic_id': 262662119, 'sector': 42, 'period': 4.532162013048873, 'epoch': 2450.129577206834, 'duration': 0.0825014022794668, 'duration_hours': 1.9800336547072033, 'depth': 0.9899213038155233, 'depth_ppm': 10078.696184476654, 'sde': 14.811830707581716, 'transit_snr': 33.93970656517353, 'rp_rs': np.float64(0.10039270981737994), 'a_rs': 19.24163303741148, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 5871.0, 'stellar_radius': 1.181, 'stellar_mass': 1.081, 'equilibrium_temp': 946.403022522525, 'transit_probability': 13.202264324935223, 'planet_radius_earth': 1.1537442433540837, 'planet_radius_jupiter': 0.012183970782015793, 'quality_flag': 'PASS', 'detector': 'TLS', 'class_name': 'Planet'}","[2449.38258696 2449.38397589 2449.38536482 ... 2469.00234632 2469.00373521
 2469.0051241 ]",[0.99732418 1.00543046 1.00315628 ... 0.9990511  1.00162713 0.98865656],"[2447.69641836 2447.6978073  2447.69919624 ... 2470.46484352 2470.46623241
 2470.46762129]",[1.00494132 0.99973852 1.00470244 ... 1.00375878 0.99319655 1.00581441],[0.46313507 0.46344153 0.463748   ... 0.48687983 0.48718628 0.48749273],[0.46390392 0.46421043 0.46451693 ... 0.48826838 0.48857487 0.48888136],0.01043655761719772,0.9882753731688548,0.7395051559125454,2.2916412568931034e-05,2.444385958712303,1058.110651730854,1650.2827458274799
375654303,1.8020737104555766,2718.7243321661235,0.06740106110051758,89.35825436890705,5.114478138999716,[1. 1. 1. ... 1. 1. 1.],0.0034845946311501635,4.481217375450313e-07,0.005368474636713083,0.0042670867038938284,44.80068531271581,10.011201636431792,7776,7781,"{'L-BFGS-B': {'success': True, 'fun': np.float64(0.003486665200790275), 'nit': 18, 'x': [1.8020510481174592, 2718.7251716700607, 0.06805880530964149, 90.0, 5.351747301549495], 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH'}, 'Powell': {'success': True, 'fun': np.float64(0.003887980026490354), 'nit': 1, 'x': [1.8014976519870556, 2718.250421322353, 0.0708668221035451, 89.99994473977962, 5.604596226601994], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(0.0034845946311501635), 'nit': 170, 'x': [1.8020737104555766, 2718.7243321661235, 0.06740106110051758, 89.35825436890705, 5.114478138999716], 'message': 'Optimization terminated successfully.'}}",True,Nelder-Mead,"{'tic_id': 375654303, 'sector': 52, 'period': 1.8010539160877095, 'epoch': 2718.729876004002, 'duration': 0.11573255024075497, 'duration_hours': 2.7775812057781195, 'depth': 0.9935357340751853, 'depth_ppm': 6464.265924814749, 'sde': 14.674431399179909, 'transit_snr': 36.83350803333172, 'rp_rs': np.float64(0.08040065873371156), 'a_rs': 5.351877428346096, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 5891.0, 'stellar_radius': 1.83, 'stellar_mass': 1.19, 'equilibrium_temp': 1800.6153399160346, 'transit_probability': 73.55045862568443, 'planet_radius_earth': 1.4317532225520775, 'planet_radius_jupiter': 0.015119849595017896, 'quality_flag': 'PASS', 'detector': 'TLS', 'class_name': 'Planet'}","[2718.63323409 2718.63462299 2718.63601188 ... 2742.55723472 2742.55862364
 2742.56001256]",[1.00102782 0.99744633 1.01035194 ... 0.99625127 0.99845755 1.00282671],"[2718.63323409 2718.63462299 2718.63601188 ... 2743.07113539 2743.07252431
 2743.07391323]",[1.00102782 0.99744633 1.01035194 ... 1.00211217 1.00202745 1.00110126],"[-0.05365854 -0.05288738 -0.05211622 ... -0.48499128 -0.4842201
 -0.48344893]","[-0.05055181 -0.04978108 -0.04901036 ... -0.48956306 -0.48879232
 -0.48802159]",0.012675193492626653,1.20025989779152,0.4542903037475732,0.05728389425144567,2.8903903520548684,1841.931018636026,7696.445828201159
288246496,4.304908029388001,2854.005817223101,0.06922948844263724,87.90970217873056,10.174642990461905,[1. 1. 1. ... 1. 1. 1.],0.0007740014852551689,7.417359705368174e-08,0.0024129342434360624,0.0019216698216626294,46.26777330866841,10.0065244327676,10435,10440,"{'L-BFGS-B': {'success': True, 'fun': np.float64(0.0007743966529702218), 'nit': 8, 'x': [4.304976735115704, 2854.0054724219644, 0.06766897464892, 90.0, 10.679445202287978], 'message': 'CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL'}, 'Powell': {'success': True, 'fun': np.float64(0.0009753263684433763), 'nit': 1, 'x': [4.303092085754684, 2853.51370679965, 0.040003825324544516, 80.72952903448302, 12.81511250273274], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(0.0007740014852551689), 'nit': 576, 'x': [4.304908029388001, 2854.005817223101, 0.06922948844263724, 87.90970217873056, 10.174642990461905], 'message': 'Optimization terminated successfully.'}}",True,Nelder-Mead,"{'tic_id': 288246496, 'sector': 57, 'period': 4.302186266590238, 'epoch': 2854.0136637829423, 'duration': 0.13847435461740704, 'duration_hours': 3.323384510817769, 'depth': 0.9936199994262775, 'depth_ppm': 6380.000573722456, 'sde': 16.245795704916564, 'transit_snr': 61.21239260037309, 'rp_rs': np.float64(0.07987490578224463), 'a_rs': 10.679315971808224, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 5900.0, 'stellar_radius': 1.17, 'stellar_mass': 1.19, 'equilibrium_temp': 1276.630734314756, 'transit_probability': 23.565837534076646, 'planet_radius_earth': 0.9093973685554162, 'planet_radius_jupiter': 0.00960357638319394, 'quality_flag': 'PASS', 'detector': 'TLS', 'class_name': 'Planet'}","[2853.35974482 2853.36113371 2853.36252261 ... 2881.0148182  2881.01620704
 2881.01759588]",[0.99109913 0.99668375 0.99532365 ... 0.99943399 0.99989444 1.00016972],"[2853.35974482 2853.36113371 2853.36252261 ... 2882.11616724 2882.11755608
 2882.11894492]",[0.99109913 0.99668375 0.99532365 ... 0.99908217 0.99948851 1.00077621],"[-0.1519969  -0.15167406 -0.15135123 ... -0.46785525 -0.46753242
 -0.4672096 ]","[-0.1500781  -0.14975547 -0.14943284 ... -0.47016247 -0.46983985
 -0.46951723]",0.008323649007371954,0.7881964178813045,0.47927220700292317,0.37111488292510947,3.2486146213550966,1307.908686091504,2473.4727832969143
273373582,0.6073928872519214,2420.4167666435105,0.07654551918515994,89.99995027409761,3.4282968063387034,[1. 1. 1. ... 1. 1. 1.],0.14153019736154904,3.110553788165913e-05,0.03710636018900121,0.02956454794064196,42.261434245831836,10.15471990938617,4550,4555,"{'L-BFGS-B': {'success': True, 'fun': np.float64(0.14153020957238166), 'nit': 19, 'x': [0.6073925996981029, 2420.416760459355, 0.0765214837575956, 90.0, 3.4250483981442055], 'message': 'CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH'}, 'Powell': {'success': True, 'fun': np.float64(0.1431722769400584), 'nit': 1, 'x': [0.6039878090915295, 2420.151070300052, 0.12940968303149622, 89.99994473977962, 4.109924348519753], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(0.14153019736154904), 'nit': 323, 'x': [0.6073928872519214, 2420.4167666435105, 0.07654551918515994, 89.99995027409761, 3.4282968063387034], 'message': 'Optimization terminated successfully.'}}",True,Nelder-Mead,"{'tic_id': 273373582, 'sector': 41, 'period': 0.6073830575524004, 'epoch': 2420.4149491246635, 'duration': 0.06132113778525971, 'duration_hours': 1.471707306846233, 'depth': 0.9925496673728422, 'depth_ppm': 7450.332627157774, 'sde': 11.085018104161755, 'transit_snr': 7.755090045234968, 'rp_rs': np.float64(0.08631530934404263), 'a_rs': 3.4249836012082473, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 3784.0, 'stellar_radius': 0.51, 'stellar_mass': 0.54, 'equilibrium_temp': 1445.7955432682725, 'transit_probability': 32.029645610974995, 'planet_radius_earth': 0.42836648036570824, 'planet_radius_jupiter': 0.004523710268402145, 'quality_flag': 'REVIEW', 'detector': 'TLS', 'class_name': 'Planet'}","[2420.3405874  2420.34197631 2420.34336521 ... 2446.57816933 2446.57955822
 2446.5809471 ]",[1.07116936 1.03800871 0.94095645 ... 0.96685832 0.9979346  1.00463377],"[2419.99197324 2419.99336214 2419.99475104 ... 2446.57816933 2446.57955822
 2446.5809471 ]",[1.01518591 1.02224946 0.99207221 ... 0.96685832 0.9979346  1.00463377],[0.30360934 0.30589604 0.30818274 ... 0.07532106 0.07760773 0.0798944 ],[0.30062828 0.30291494 0.3052016  ... 0.07163162 0.07391826 0.07620489],0.004011684065892541,0.3798808680673036,0.5859216507325682,2.9753527014820102e-06,1.4821615093442082,1445.0967450905057,3199.8691235621977
272080244,13.281518165694438,3519.1701993099723,0.2058661871255748,90.0,46.02423235561551,[1. 1. 1. ... 1. 1. 1.],0.13177698440666757,3.907976999011494e-05,0.03409892886968669,0.027035607885779016,40.755492086334506,10.149575857144727,3372,3377,"{'L-BFGS-B': {'success': True, 'fun': np.float64(0.13177698440666757), 'nit': 23, 'x': [13.281518165694438, 3519.1701993099723, 0.2058661871255748, 90.0, 46.02423235561551], 'message': 'CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL'}, 'Powell': {'success': True, 'fun': np.float64(0.1346965363290702), 'nit': 2, 'x': [13.277941151639656, 3518.8445442081997, 0.24339350779335348, 89.99995877927644, 46.024232377342116], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(0.1317769875335772), 'nit': 108, 'x': [13.281511913186907, 3519.170214964961, 0.20591414643510877, 90.0, 46.02424056043937], 'message': 'Optimization terminated successfully.'}}",True,L-BFGS-B,"{'tic_id': 272080244, 'sector': 81, 'period': 13.28208862207778, 'epoch': 3519.1736019335317, 'duration': 0.08701677173836005, 'duration_hours': 2.0884025217206412, 'depth': 0.9661125588359797, 'depth_ppm': 33887.44116402032, 'sde': 9.535651898475525, 'transit_snr': 9.96871618159076, 'rp_rs': np.float64(0.18408541811892737), 'a_rs': 57.53029044451938, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 6063.0, 'stellar_radius': 1.001, 'stellar_mass': 1.079, 'equilibrium_temp': 565.2288063005094, 'transit_probability': 3.7426392230568704, 'planet_radius_earth': 1.7931265389189972, 'planet_radius_jupiter': 0.018936086991977484, 'quality_flag': 'REVIEW', 'detector': 'TLS', 'class_name': 'Planet'}","[3506.55473423 3506.55612315 3506.55751206 ... 3533.17578052 3533.17716941
 3533.1785583 ]",[1.05705744 1.00989175 0.95887545 ... 1.04608219 1.04208329 0.97357574],"[3506.55473423 3506.55612315 3506.55751206 ... 3533.17578052 3533.17716941
 3533.1785583 ]",[1.05705744 1.00989175 0.95887545 ... 1.04608219 1.04208329 0.97357574],[0.04993348 0.05003805 0.05014262 ... 0.05421512 0.05431968 0.05442425],[0.05014887 0.05025344 0.05035802 ... 0.05451659 0.05462116 0.05472573],0.021176582414573028,2.0052871507858874,4.238088700162224,2.818171441875929e-15,2.6587123621468294,631.9450168645003,467.8299028821088
100990000,9.600721180181537,1386.1504325980102,0.015354534644620395,89.46098670667361,41.846053860471535,[1. 1. 1. ... 1. 1. 1.],2.9920640139355476e-07,6.293782107563205e-11,0.00031887395024114977,0.0002532259403707382,42.33896450481195,10.01262390534989,4754,4759,"{'L-BFGS-B': {'success': True, 'fun': np.float64(3.0126739474075823e-07), 'nit': 0, 'x': [9.581046366528344, 1386.1848582548562, 0.01673442036626235, 90.0, 34.87173069016613], 'message': 'CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL'}, 'Powell': {'success': True, 'fun': np.float64(3.024815067497943e-07), 'nit': 1, 'x': [9.585954787949436, 1386.6470822174235, 0.008431956883454765, 89.3759169720245, 31.80503868115954], 'message': 'Optimization terminated successfully.'}, 'Nelder-Mead': {'success': True, 'fun': np.float64(2.9920640139355476e-07), 'nit': 579, 'x': [9.600721180181537, 1386.1504325980102, 0.015354534644620395, 89.46098670667361, 41.846053860471535], 'message': 'Optimization terminated successfully.'}}",True,Nelder-Mead,"{'tic_id': 100990000, 'sector': 3, 'period': 9.581046366528344, 'epoch': 1386.1848582548562, 'duration': 0.08891951669765669, 'duration_hours': 2.1340684007437605, 'depth': 0.9997199591750052, 'depth_ppm': 280.04082499477613, 'sde': 9.485988836829423, 'transit_snr': 8.836414640577472, 'rp_rs': np.float64(0.01673442036626235), 'a_rs': 34.87173069016613, 'inclination': 90.0, 'impact_parameter': 0.0, 'stellar_teff': 6169.0, 'stellar_radius': 1.117, 'stellar_mass': 1.098, 'equilibrium_temp': 738.6913634263353, 'transit_probability': 6.890014325971721, 'planet_radius_earth': 0.18189523400043853, 'planet_radius_jupiter': 0.0019208817111897095, 'quality_flag': 'REVIEW', 'detector': 'TLS', 'class_name': 'Planet'}","[1385.9509752  1385.95236413 1385.95375306 ... 1406.21383845 1406.21522735
 1406.21661625]",[0.99964336 1.00075573 1.00026566 ... 0.99965383 1.00029209 1.0000217 ],"[1385.9509752  1385.95236413 1385.95375306 ... 1406.21383845 1406.21522735
 1406.21661625]",[0.99964336 1.00075573 1.00026566 ... 0.99965383 1.00029209 1.0000217 ],"[-0.02441101 -0.02426605 -0.02412108 ...  0.09047941  0.09062438
  0.09076934]","[-0.02077525 -0.02063058 -0.02048591 ...  0.08978112  0.08992579
  0.09007045]",0.0017624897747962852,0.1668965288921368,0.023576173415285062,0.3936633168171457,1.6406342268967067,674.3300563618996,574.1681756368245
