pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
"Kepler-392 c","TIC 158796434","Kepler-392",288.6608260,43.3681938,2014,10.42311800000,1.10000000,1.37000000,5938.00,1.129000,0.874000,681.42800000
"HIP 10090 c","TIC 123405803","HIP 10090",32.4351198,-30.7470844,2026,321.82000000000,13.90000000,270.15414595,5661.00,1.382680,0.940000,82.39370000
"WASP-62 b","TIC 149603524","WASP-62",87.1398205,-63.9883286,2012,4.41195000000,14.79588000,165.27160000,6230.00,1.230000,1.110000,175.63100000
"K2-25 b","TIC 434226736","K2-25",63.2739346,15.2477027,2015,3.48456408000,3.44000000,24.50000000,3207.00,0.293200,0.263400,44.95650000
"TOI-7510 c","TIC 118798035","TOI-7510",273.7281880,-54.4340547,2025,22.56874230000,10.81000000,131.00000000,5720.00,1.035000,1.063000,249.00600000
"Kepler-354 d","TIC 120578185","Kepler-354",285.7515347,41.3356739,2014,24.20984200000,1.24000000,2.07000000,4648.00,0.674000,0.652000,554.06400000
"Kepler-1342 b","TIC 272942844","Kepler-1342",297.0200549,43.4325382,2016,2.21571035800,1.66000000,3.39000000,5527.00,0.900000,0.930000,890.72400000
"Kepler-1059 b","TIC 121943952","Kepler-1059",289.2202147,41.7064385,2016,3.76419104800,1.73000000,3.64000000,4906.00,0.720000,0.750000,713.16700000
"Kepler-518 b","TIC 121112251","Kepler-518",287.0900190,41.3737576,2016,8.51203587700,2.11000000,5.10000000,5842.00,0.880000,0.960000,337.90100000
"TOI-128.01","TIC 391949880","TOI-128",79.5209381,-80.9643840,2024,4.94046810000,2.21898000,5.56000000,6086.00,1.130000,0.851969,68.47270000
"HIP 9618 b","TIC 306263608","HIP 9618",30.9050061,21.2813274,2023,20.77285800000,3.82838127,8.30000000,5649.00,0.959300,0.942000,67.54780000
"Kepler-154 c","TIC 416282268","Kepler-154",289.7805393,49.8965624,2014,62.30327600000,2.95000000,9.01000000,5690.00,1.001000,0.933000,915.21200000
