pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
HD 153950 b,TIC 124165580,HD 153950,256.1292826,-43.3103753,2008,499.39999,13.2,937.5985,6124.0,1.28,1.25,48.4549
Kepler-1341 b,TIC 123126460,Kepler-1341,280.5116813,44.1593503,2016,132.9968322,2.99,9.22,4662.0,0.72,0.79,476.957
TOI-5704 b,TIC 148673433,TOI-5704,169.8248694,44.9890782,2023,3.771116,3.2274,10.5,4590.0,0.7575,0.73,89.637
TOI-4562 c,TIC 349576261,TOI-4562,112.0100593,-63.5177788,2024,3990.0,12.8,1833.86990839,6096.0,1.152,1.192,339.605
Kepler-524 b,TIC 27914389,Kepler-524,296.8591787,49.1620125,2016,7.97419807,1.91,4.31,6014.0,1.1,1.09,1058.24
TOI-1859 b,TIC 229742722,TOI-1859,279.8317644,69.5228726,2023,63.48347,9.75181321,68.6,6341.0,1.36,1.287,224.385
Kepler-973 b,TIC 267747398,Kepler-973,290.1653203,49.9238126,2016,49.6077331,1.96,4.5,5213.0,0.78,0.86,328.52
Kepler-1451 b,TIC 138217479,Kepler-1451,293.4464227,40.4098813,2016,35.622233,3.35,11.2,5782.0,0.99,1.0,1058.72
Kepler-112 b,TIC 272943597,Kepler-112,296.9811361,43.2097025,2014,8.408878,2.36,6.17,5544.0,0.841,0.782,513.206
HD 23127 b,TIC 311924816,HD 23127,54.8491271,-60.077229,2006,1211.17,13.5,485.32641,5843.0,1.49,1.208,93.8555
K2-273 b,TIC 175233369,K2-273,129.7768928,19.0100046,2018,11.7195663,3.05,9.53,5161.0,0.85,0.89,308.105
Kepler-291 c,TIC 158631683,Kepler-291,287.9163029,42.4372666,2014,5.700786,1.88,4.19,6002.0,1.016,1.023,1786.48
EPIC 206215704 b,TIC 38355468,EPIC 206215704,335.0949721,-9.5097112,2019,2.255436,1.0,0.972,3297.0,0.25,0.407,109.888
K2-316 b,TIC 73943566,K2-316,233.6247336,-23.2594663,2020,1.133,1.33,2.33,3436.0,0.379,0.408,112.486
Kepler-613 b,TIC 164407908,Kepler-613,282.7868415,46.2449846,2016,15.77979614,2.29,5.86,5723.0,0.96,0.98,861.494
K2-211 b,TIC 399731211,K2-211,21.1061587,1.7049101,2018,0.669561,1.33162691,2.33,5117.0,0.818,0.851,272.297
TOI-6016 b,TIC 327369524,TOI-6016,4.5239602,59.7661983,2024,4.023687,13.67495645,371.85923619,6110.0,1.51,1.31,364.715
HD 106270 b,TIC 176910071,HD 106270,183.4049258,-9.5135645,2011,1888.0,12.4,3623.2438398,5509.0,2.66,1.39,93.808
TOI-4030 b,TIC 390021939,TOI-4030,277.6228367,56.7704522,2026,2.50900199461,5.8462559,28.8,5640.37,0.991737,0.98,571.615
Kepler-1920 b,TIC 122716838,Kepler-1920,291.0620355,38.8632881,2021,30.2541008,2.95415848,9.03,6277.0,1.161,1.239,885.913
CoRoT-14 b,TIC 282706928,CoRoT-14,103.4242023,-5.5360385,2010,1.51214,12.22,2415.4,6035.0,1.21,1.13,1744.6
HD 215497 b,TIC 469943599,HD 215497,341.652714,-56.5997984,2009,3.93404,,1588.82420659,5110.0,0.85,0.67,40.5468
HD 220197 b,TIC 435199076,HD 220197,350.4946927,16.6323305,2018,1728.0,9.32,63.566,5683.0,0.98,0.91,64.411
TOI-5720 b,TIC 230055368,TOI-5720,170.3135774,25.2732942,2024,1.4344555,1.09,4.3,3325.0,0.383,0.383,35.8256
Kepler-203 d,TIC 169084431,Kepler-203,297.089959,41.3880686,2014,11.32972,1.44,33.9,5821.0,1.114,1.06,703.302
TIC 161045582 b,TIC 161045582,TIC 161045582,223.6258514,49.097725,2026,8.85577189959,2.24566738,5.67,5683.87,1.07976,1.04,162.246
Kepler-1171 b,TIC 138888759,Kepler-1171,294.9589285,38.5915968,2016,1.44259224,2.56,7.08,7044.0,1.95,1.58,573.0
HD 65216 b,TIC 382625142,HD 65216,118.4209646,-63.6466892,2003,577.6,13.6,411.58985,5612.0,0.88,0.874,35.1205
HD 154345 b,TIC 198562505,HD 154345,255.6524619,47.0855544,2006,3280.0,13.7,376.9444907,5468.0,0.85,0.89,18.284
Teegarden's Star d,TIC 257870150,Teegarden's Star,43.2691449,16.8649024,2024,26.13,0.954,0.82,3034.0,0.12,0.097,3.83078
Qatar-1 b,TIC 236887394,Qatar-1,303.3818697,65.1623313,2010,1.4200242,12.811887,411.27202,5013.0,0.803,0.838,185.615
TOI-908 b,TIC 350153977,TOI-908,53.1594266,-81.250745,2023,3.183792,3.186,16.137,5626.0,1.028,0.95,175.748
HD 185283 b,TIC 320264344,HD 185283,295.3233609,-56.3221096,2023,4060.0,13.6,413.1769291,4848.0,0.743303,0.8,31.395
HD 12661 c,TIC 118268680,HD 12661,31.1423525,25.4135632,2002,1708.0,13.2,899.45439181,5748.0,1.11,1.02,37.8478
HD 175167 b,TIC 467966544,HD 175167,285.0033888,-69.9450664,2009,1175.0,12.3,4703.8604236,5635.0,1.75,1.09,71.0863
HAT-P-31 b,TIC 320798691,HAT-P-31,271.5376722,26.4266061,2011,5.00542,12.21781,721.4741,6065.0,1.39,1.31,344.05
Kepler-1475 b,TIC 271970692,Kepler-1475,295.9482766,44.753096,2016,82.177374,2.92,8.85,6214.0,1.28,1.18,1568.38
K2-133 c,TIC 150096001,K2-133,70.1493775,25.0098135,2017,4.86784,1.603,3.2,3655.0,0.455,0.461,75.1703
Kepler-323 b,TIC 137150039,Kepler-323,291.3822988,38.1274595,2014,1.678328,1.381,3.9,6004.0,1.12,1.015,454.883
Kepler-40 b,TIC 272840455,Kepler-40,296.8136883,47.5265446,2010,6.87349,13.11,699.2,6510.0,2.13,1.48,2305.01
GJ 896 A b,TIC 247985094,GJ 896 A,352.9700384,19.9370011,2022,284.39,13.3,718.29219982,3345.0,0.394682,0.43599,6.26022
K2-63 b,TIC 437699592,K2-63,333.4267738,-12.0663429,2016,20.257,3.22,10.5,6771.0,1.63,1.4,517.534
Kepler-10 c,TIC 377780790,Kepler-10,285.679298,50.2414842,2011,45.294301,2.355,11.29,5708.0,1.065,0.91,185.506
TOI-2498 b,TIC 263179590,TOI-2498,95.4162204,11.2516477,2023,3.738252,6.06,34.62,5905.0,1.26,1.12,275.265
WASP-197 b,TIC 85266608,WASP-197,160.6307133,28.1986255,2025,5.167228,14.44837612,403.32424848,6050.0,2.112,1.36,483.675
HD 177565 b,TIC 254147274,HD 177565,286.7175787,-37.8122394,2017,44.505,4.0,15.1,5627.0,0.971489,1.0,16.9179
TOI-6651 b,TIC 174328045,TOI-6651,15.7885904,35.3890405,2024,5.056973,5.09,61.0,5940.0,1.721,1.323,212.128
KOI-351 g,TIC 267667295,KOI-351,284.4334642,49.3051239,2013,210.73514,7.718,15.0,6031.13,1.185,1.242,848.254
Kepler-1931 b,TIC 159571280,Kepler-1931,290.8723061,43.3330104,2021,38.5760994,2.65323514,7.53,6167.0,1.221,1.174,620.091
HIP 74890 b,TIC 148153804,HIP 74890,229.5714974,-41.4210961,2016,822.3,13.3,762.792,4850.0,5.77,1.74,78.6562
Kepler-287 c,TIC 417660580,Kepler-287,290.9274282,48.4434588,2014,44.851896,3.26,66.0,5806.0,1.032,0.963,835.86
Luhman 16 b,TIC 119862115,Luhman 16 A,162.3282594,-53.3193715,2017,9697.0,11.9,9344.1551658,,,0.0338,
2MASS J21252752-8138278 b,TIC 273305007,2MASS J21252752-8138278,321.3662989,-81.6414894,2024,,12.4,3813.940884,3592.0,0.672832,0.643977,34.1154
GJ 180 b,TIC 246902275,GJ 180,73.460097,-17.776194,2014,17.133,2.43,6.49,3371.0,0.413049,0.43,11.9407
LkCa 15 c,TIC 118681038,LkCa 15,69.8241791,22.3508662,2015,,,,4194.0,1.60711,,158.152
Kepler-512 b,TIC 28448711,Kepler-512,298.2689217,48.9167391,2016,34.43587975,2.69,7.7,5997.0,1.3,1.17,467.375
HD 191939 e,TIC 269701147,HD 191939,302.0256247,66.8503014,2022,101.12,13.0,112.2,5348.0,0.94,0.81,53.6089
Kepler-1753 b,TIC 158664331,Kepler-1753,288.236664,46.6058744,2021,16.00460052,2.22678077,5.59,5180.0,0.769,0.86,707.688
TOI-178 f,TIC 251848941,TOI-178,7.3020115,-30.4541159,2021,15.23335,2.417,5.63,4316.0,0.662,0.647,62.699
GJ 3634 b,TIC 49064384,GJ 3634,164.6433493,-31.1443383,2010,2.64561,2.83,8.4,3517.0,0.43,0.45,20.3779
K2-318 b,TIC 335322931,K2-318,232.4461375,-17.557463,2020,7.01,1.66,3.39,3851.0,0.552,0.561,147.866
