train_loss,train_acc,test_loss,test_acc
1.3901778697967528,25.35211267605634,1.4077423810958862,27.77777777777778
1.3641804456710815,26.760563380281692,1.4029718041419983,33.333333333333336
1.3230638265609742,36.61971830985915,1.3986012935638428,33.333333333333336
1.2878350257873534,45.070422535211264,1.3941171169281006,33.333333333333336
1.260818314552307,46.478873239436616,1.3936728239059448,38.888888888888886
1.2162179708480836,45.070422535211264,1.400687038898468,27.77777777777778
1.1700323581695558,53.521126760563384,1.4174424409866333,33.333333333333336
1.1036571979522705,56.33802816901409,1.4345574975013733,38.888888888888886
1.054409635066986,52.11267605633803,1.4434459209442139,38.888888888888886
1.0254119157791137,53.521126760563384,1.4751685857772827,38.888888888888886
1.0889715671539306,54.929577464788736,1.5118257999420166,44.44444444444444
0.9361995577812194,60.563380281690144,1.5583899021148682,44.44444444444444
0.9033329010009765,60.563380281690144,1.5863316059112549,44.44444444444444
0.9280075788497925,64.78873239436619,1.6208576560020447,44.44444444444444
0.8258616328239441,64.78873239436619,1.6478022933006287,55.55555555555556
0.7798882842063903,81.69014084507042,1.6952199339866638,55.55555555555556
0.7378720164299011,74.64788732394366,1.7139803767204285,55.55555555555556
0.7871479153633117,69.01408450704226,1.780357539653778,50.0
0.7415058255195618,78.87323943661971,1.8462457656860352,44.44444444444444
0.7564547896385193,69.01408450704226,1.8547662496566772,50.0
0.8289170384407043,63.38028169014085,1.9005838632583618,50.0
0.7275946497917175,76.05633802816901,1.8579285144805908,50.0
0.6248531818389893,78.87323943661971,1.8437185287475586,50.0
0.6610840559005737,70.4225352112676,1.8642189502716064,50.0
0.5643435478210449,84.50704225352112,1.9306941032409668,50.0
0.5729675471782685,87.32394366197182,1.9877910017967224,50.0
0.6430620849132538,76.05633802816901,2.006956934928894,44.44444444444444
0.6380553364753723,78.87323943661971,1.9886241555213928,44.44444444444444
0.7317427873611451,71.83098591549296,2.0239160656929016,50.0
0.6567934274673461,73.2394366197183,2.0363963842391968,50.0
0.5178501963615417,85.91549295774648,1.9686464071273804,50.0
0.5271528720855713,80.28169014084507,2.0152515172958374,44.44444444444444
