tic_id,sector,mission,author,target_name,cadence_sec,num_points,mean_flux,median_flux,std_flux,variance,min_flux,max_flux,dynamic_range,rms,mad,snr,duration_days,median_cadence_days,max_gap_days,skewness,kurtosis,missing_values,duplicate_times,missing_fraction,duplicate_fraction,estimated_transit_depth,lowest_flux,file_name,status
100990000,3,TESS,SPOC,100990000,21.661594559092,13532,1.0000030469728334,1.0,0.00031573743417790046,9.969012734124404e-08,0.9987898914930737,1.0014903198501972,0.0027004283571234744,0.00031573743417790046,0.000312011833172022,3167.18859328082,20.26564104584463,0.001388914169410782,1.2000230834064496,0.06934031410042643,0.13202116036962952,0,0,0.0,0.0,0.0012101085069262663,0.9987898914930737,TIC_100990000_Sector_3.parquet,Success
120252452,40,TESS,SPOC,120252452,22.335620342847,19611,1.0000765382600862,1.0,0.008784359028195026,7.716496353623146e-05,0.9653901538203632,1.0355999276262806,0.07020977380591742,0.008784359028195026,0.008664464931143707,113.83869862221192,28.200151941918193,0.0013889001320421812,0.931947960999878,0.010462210109134267,0.1119569585842557,0,0,0.0,0.0,0.034609846179636805,0.9653901538203632,TIC_120252452_Sector_40.parquet,Success
120422519,53,TESS,SPOC,120422519,19.787113147151,16991,0.9999080663204447,1.0,0.014823047379279685,0.0002197227336083703,0.937807041696432,1.0561374155095282,0.11833037381309619,0.014823047379279685,0.014678602194650715,67.46251121060602,24.98233980940313,0.0013889059264329262,0.919460638948749,-0.012334989010994156,0.06276914239698961,0,0,0.0,0.0,0.06219295830356797,0.937807041696432,TIC_120422519_Sector_53.parquet,Success
120691237,80,TESS,SPOC,120691237,20.94756668095,17255,0.9998803437040578,1.0,0.018543312453985418,0.0003438544367661307,0.91623008517199,1.0757997636408523,0.15956967846886227,0.018543312453985418,0.017928925013840497,53.92779755404894,26.44755891960358,0.0013889052270315005,1.5166918640461517,-0.019136370836778282,0.3617745804372414,0,0,0.0,0.0,0.08376991482801,0.91623008517199,TIC_120691237_Sector_80.parquet,Success
121395761,40,TESS,SPOC,121395761,22.335705902364,19609,0.9999220061518358,1.0,0.01928507211336824,0.0003719140064178133,0.9202418384811746,1.0857745788579423,0.16553274037676768,0.01928507211336824,0.019116016756249868,51.853578463251324,28.200259965790792,0.001388906186548411,0.9319519552095699,-0.009120165502030852,0.11587881469221628,0,0,0.0,0.0,0.07975816151882542,0.9202418384811746,TIC_121395761_Sector_40.parquet,Success
121467823,75,TESS,SPOC,121467823,21.93771662785,19474,1.0000177829826145,1.0,0.0065644692062859595,4.3092255960276615e-05,0.9725739405694923,1.025041513089054,0.05246757251956169,0.0065644692062859595,0.006550333918101532,152.33524121682632,27.69774823998341,0.0013889159276914143,0.216671097813105,0.005826666230601808,0.03114035467194043,0,0,0.0,0.0,0.027426059430507688,0.9725739405694923,TIC_121467823_Sector_75.parquet,Success
121598758,80,TESS,SPOC,121598758,20.947624699863,15884,1.0001496471107445,1.0,0.02799662121082359,0.0007838107992223374,0.8768394331297961,1.1272631171434921,0.2504236840136961,0.02799662121082359,0.028004121896783366,35.718595914474015,26.447632172315025,0.001388907555337937,3.21117316362961,-0.011219678235444414,0.08948595507210166,0,0,0.0,0.0,0.12316056687020394,0.8768394331297961,TIC_121598758_Sector_80.parquet,Success
121603794,40,TESS,SPOC,121603794,27.920123000308,115324,0.9999687090984924,1.0,0.006105978083155468,3.728296835197493e-05,0.9698936010095576,1.0305341257658782,0.060640524756320646,0.006105978083155468,0.006049349665150101,163.77392554989595,28.201912961049857,0.00023148486798163503,0.929638213864564,-0.04008936396546351,0.16162459205029345,0,0,0.0,0.0,0.03010639899044243,0.9698936010095576,TIC_121603794_Sector_40.parquet,Success
121785939,80,TESS,SPOC,121785939,20.947644671877,17117,0.9999940319267084,1.0,0.05043370129322145,0.002543558226133887,0.7948067299407925,1.1923966532973096,0.3975899233565171,0.05043370129322145,0.049405947692763755,19.828011316996182,26.447657388106563,0.0013889105821363046,1.4875301321399093,0.008119496556896508,0.08834465278051873,0,0,0.0,0.0,0.2051932700592075,0.7948067299407925,TIC_121785939_Sector_80.parquet,Success
121988890,80,TESS,SPOC,121988890,20.947656313536,17277,1.0000198878948348,1.0,0.030191965250536794,0.0009115547656896214,0.8740030412311351,1.1180159559188834,0.24401291468774822,0.030191965250536794,0.029415972931161535,33.121394771816675,26.447672086239436,0.0013889115134588792,1.48753097521967,0.008994293594582793,0.14269496788738856,0,0,0.0,0.0,0.12599695876886485,0.8740030412311351,TIC_121988890_Sector_80.parquet,Success
122442334,74,TESS,SPOC,122442334,21.150641907158,17708,1.0000226708132314,1.0,0.006781287584028375,4.5985861297297393e-05,0.9733510167522036,1.0279806760579242,0.05462965930572061,0.006781287584028375,0.006774773897579037,147.46462048818717,26.703967063740492,0.001388879175465263,0.5791553153667337,0.025199824599997235,0.07358952833706711,0,0,0.0,0.0,0.02664898324779641,0.9733510167522036,TIC_122442334_Sector_74.parquet,Success
122515955,74,TESS,SPOC,122515955,21.150656419401,16661,0.9998969852762002,1.0,0.007748618449502857,6.0041087875976064e-05,0.9672466526530372,1.0352684660200735,0.06802181336703628,0.007748618449502857,0.007626858460560863,129.05526404699393,26.703985385882334,0.0013888808061892632,1.6916545655772097,-0.017364258734446872,0.14009300589919782,0,0,0.0,0.0,0.03275334734696278,0.9672466526530372,TIC_122515955_Sector_74.parquet,Success
123447592,14,TESS,SPOC,123447592,21.266099936836,16763,1.000050845535444,1.0,0.0033443092555239386,1.1184404396583079e-05,0.9852827043740886,1.0151738349307677,0.029891130556679135,0.0033443092555239386,0.0033081025166097205,299.0154090409723,26.849747406413826,0.0013888808457522828,1.420815390773896,0.045105169914399924,0.12913953452073423,0,0,0.0,0.0,0.014717295625911397,0.9852827043740886,TIC_123447592_Sector_14.parquet,Success
123496782,40,TESS,SPOC,123496782,22.335591383086,19611,0.9999954211154423,1.0,0.0024960702255997073,6.230366571125373e-06,0.990195332188309,1.012549109284365,0.022353777096056016,0.0024960702255997073,0.002498769540216517,400.6297538202233,28.200115378659575,0.001388897570905101,0.9319465116291212,0.020681868721088466,0.07891066277384562,0,0,0.0,0.0,0.009804667811690981,0.990195332188309,TIC_123496782_Sector_40.parquet,Success
123499226,74,TESS,SPOC,123499226,21.150832789463,16310,0.9998391859755836,1.0,0.03287067610541425,0.0010804813476270512,0.8736364413490788,1.1378405499462194,0.2642041085971406,0.03287067610541425,0.03222706463042888,30.42225224674604,26.704208065109924,0.0013888924468119512,1.7388896040974942,-0.02566056455323788,0.17901485061244182,0,0,0.0,0.0,0.1263635586509212,0.8736364413490788,TIC_123499226_Sector_74.parquet,Success
137155210,40,TESS,SPOC,137155210,22.33581769987,19611,0.9999600193060535,1.0,0.004738365968697568,2.2452112053311238e-05,0.9816590567594248,1.0186751425100822,0.0370160857506574,0.004738365968697568,0.004679780716163586,211.0432175577332,28.20040111727303,0.0013889134033888695,0.9319569575759488,-0.03108461668066251,0.03321011411320329,0,0,0.0,0.0,0.018340943240575225,0.9816590567594248,TIC_137155210_Sector_40.parquet,Success
137211068,74,TESS,SPOC,137211068,21.150609721287,18604,0.9999543381261458,1.0,0.006721139793089097,4.517372011824575e-05,0.9677980373625155,1.031950482141153,0.06415244477863746,0.006721139793089097,0.006647687034801843,148.78428819889058,26.703926427109764,0.0013888766143281828,0.2569420386366801,0.025608645165712336,0.14863080106066606,0,0,0.0,0.0,0.03220196263748454,0.9677980373625155,TIC_137211068_Sector_74.parquet,Success
137556197,74,TESS,SPOC,137556197,21.150590739327,18493,1.0002489917873032,1.0,0.016178064098668045,0.00026172975798061186,0.9347192116384285,1.0672507781233618,0.13253156648493325,0.016178064098668045,0.015730536151601054,61.81209283763012,26.70390246115312,0.0013888754501749645,0.4097180727439991,0.049321532453857155,0.30997352692939417,0,0,0.0,0.0,0.06528078836157147,0.9347192116384285,TIC_137556197_Sector_74.parquet,Success
137558813,40,TESS,SPOC,137558813,22.335847598604,19611,1.0001918938842103,1.0,0.039053218196692496,0.001525153851518474,0.8419946189283263,1.1599624070030752,0.3179677880747489,0.039053218196692496,0.03876297792119126,25.60608436834771,28.200438866105287,0.0013889150336581224,0.931958266782658,-0.010583117914287449,0.05002806462797249,0,0,0.0,0.0,0.15800538107167372,0.8419946189283263,TIC_137558813_Sector_40.parquet,Success
