feature,importance
transit_sde,0.19476446752421447
transit_transit_snr,0.10724520682393271
second_frequency,0.03901359200492087
power_concentration,0.03876497375861783
kurtosis,0.03137441919374727
third_frequency,0.03025929096639516
transit_duration,0.029417596424709477
harmonic_ratio,0.022677882089976842
dominant_period,0.021444539388715544
skewness,0.02136056440138624
largest_gap_days,0.019148700000334393
time_span_hours,0.01863906226502328
transit_period,0.018483367046417322
dominant_frequency,0.01825014459324171
rms,0.017394632002353857
median_cadence_days,0.017090962913793712
gap_fraction,0.016788246435436173
mean_flux,0.01644747658491602
transit_depth,0.016320261241165795
cadence_minutes,0.0161151459045326
std_cadence_days,0.01610790192370354
transit_epoch,0.01602590002933619
num_observations,0.01519353756167711
zero_crossings,0.014948052162977715
observation_duration_days,0.014888129925199022
flux_entropy,0.014393241376043036
dominant_power,0.013926172186331102
spectral_entropy,0.013571739246830444
max_spectral_power,0.012619119677506166
sampling_density,0.012502453904116558
third_power,0.012298045761854762
second_power,0.01192319119851691
mean_gap_days,0.011625153217951273
mean_cadence_days,0.011117308294108334
spectral_energy,0.010684393725306256
frequency_variance,0.0075249155648896456
minimum_flux,0.007434042857522567
spectral_std,0.007173943868994539
mad,0.006887116831452158
dynamic_range,0.006782316294052281
percentile_5,0.006402533502701335
maximum_flux,0.006393235334428775
percentile_75,0.006126600319857638
percentile_95,0.005979070720319749
mean_spectral_power,0.005838237030109064
iqr,0.005559326455353972
variance,0.005395257020268285
percentile_25,0.005031739137306817
std_flux,0.004646793307453581
median_flux,0.0
