,period,epoch,rp_rs,inclination,a_rs
period,1.0,0.031279754890626184,0.15777069192729343,-0.03362710307317158,-0.05869211561738345
epoch,0.03127975489062618,1.0,-0.054650745985825096,0.02260792107040637,-0.0014377497600192646
rp_rs,0.15777069192729343,-0.054650745985825096,1.0,0.006873149870718035,-0.21527190358676837
inclination,-0.033627103073171585,0.02260792107040637,0.006873149870718035,1.0,-0.012248140262832441
a_rs,-0.058692115617383446,-0.0014377497600192646,-0.2152719035867684,-0.012248140262832441,1.0
