tic_id,planet_name,host_star,ra,dec,orbital_period_days,planet_radius_earth,planet_mass_earth,stellar_teff,stellar_radius,stellar_mass,distance_pc,discovery_year,class_label,class_id,source_catalog
159376971,Kepler-138 d,Kepler-138,290.3814122,43.2930645,23.0923,1.51,2.1,3841.0,0.535,0.535,66.8624,2014,Planet,0,NASA Exoplanet Archive
369021303,GJ 676 A c,GJ 676 A,262.5448903,-51.6377777,13921.42302,12.3,4288.14086724,3734.0,0.69,0.626,16.0272,2016,Planet,0,NASA Exoplanet Archive
328081248,TOI-5799 c,TOI-5799,301.630179,15.9891418,14.010449,1.76,3.75,3452.0,0.321,0.325,27.8123,2025,Planet,0,NASA Exoplanet Archive
192826603,NGTS-1 b,NGTS-1,82.7142134,-36.6309812,2.647298,14.90797,258.07796,3916.0,0.573,0.617,218.121,2017,Planet,0,NASA Exoplanet Archive
158434144,Kepler-174 c,Kepler-174,287.4389454,43.8320052,44.000529,1.49,2.83,4880.0,0.622,0.602,384.757,2014,Planet,0,NASA Exoplanet Archive
360023295,Kepler-1824 b,Kepler-1824,296.7071957,41.2036197,95.61100006,2.38127597,6.26,6002.0,1.081,1.135,1040.1,2021,Planet,0,NASA Exoplanet Archive
380546118,EPIC 201757695.02,EPIC 201757695,173.9385102,4.6164303,2.0478,0.90819,0.688,4520.0,0.655,0.727,577.6,2020,Planet,0,NASA Exoplanet Archive
165202476,TOI-4666 b,TOI-4666,56.2898862,-39.0631799,2.9089165,12.53164042,155.41809102,3793.0,0.585,0.576,154.749,2025,Planet,0,NASA Exoplanet Archive
51739133,HD 110537 b,HD 110537,190.7462412,-4.0501059,24469.67342,11.9,8612.83200129,5718.0,1.16626,1.02,45.0858,2022,Planet,0,NASA Exoplanet Archive
171884427,Kepler-118 c,Kepler-118,299.2131881,41.4248195,20.17202,7.68,45.7,5274.0,1.094,0.811,574.228,2014,Planet,0,NASA Exoplanet Archive
354489950,18 Del b,18 Del,314.6078375,10.8391378,982.85,12.5,2926.24614325,4980.0,8.8,2.1,76.222,2008,Planet,0,NASA Exoplanet Archive
260647166,HD 108236 b,HD 108236,186.5740627,-51.3630519,3.795963,1.615,3.24,5660.0,0.877,0.869,64.5978,2020,Planet,0,NASA Exoplanet Archive
121786521,Kepler-1500 b,Kepler-1500,288.883474,39.7446547,15.0330105,1.2,1.87,5845.0,1.0,1.0,1217.82,2016,Planet,0,NASA Exoplanet Archive
12723961,HD 212771 b,HD 212771,336.762413,-17.2641046,380.7,13.3,759.6137,5003.0,5.27,1.56,111.155,2009,Planet,0,NASA Exoplanet Archive
344627954,HD 5319 b,HD 5319,13.7558096,0.7893425,637.1,13.5,494.54348,4871.0,4.06,1.27,121.405,2007,Planet,0,NASA Exoplanet Archive
251109533,HD 16141 b,HD 16141,38.8323674,-3.5624887,75.523,10.9,82.6358,5757.0,1.48,1.11,37.7861,2000,Planet,0,NASA Exoplanet Archive
449888653,TYC 8998-760-1 c,TYC 8998-760-1,201.3001096,-64.9391566,,12.3299,1906.98,4573.0,0.953811,1.0,94.6177,2020,Planet,0,NASA Exoplanet Archive
361711730,TOI-5027 b,TOI-5027,243.8850212,-69.2170972,10.24368,10.76062147,642.01338214,5909.0,0.92,1.02,204.429,2025,Planet,0,NASA Exoplanet Archive
138036952,Kepler-766 b,Kepler-766,293.1845144,37.9698357,6.10027804,3.39,11.4,5992.0,1.15,1.1,2297.62,2016,Planet,0,NASA Exoplanet Archive
57654763,GJ 433 b,GJ 433,173.8619194,-32.5436302,7.3705,2.33,6.043,3461.0,0.5,0.48,9.06456,2013,Planet,0,NASA Exoplanet Archive
271772050,KOI-134 c,KOI-134,295.586598,45.3649371,33.95,9.86,69.92224954,6160.0,1.667,1.407,1159.21,2025,Planet,0,NASA Exoplanet Archive
337607207,K2-185 c,K2-185,130.2596625,14.6902225,52.713494,2.39,6.3,5788.0,0.94,0.96,268.357,2018,Planet,0,NASA Exoplanet Archive
268612417,Kepler-1114 b,Kepler-1114,299.2370531,45.8347781,14.97435694,1.35,2.39,5374.0,0.83,0.87,418.417,2016,Planet,0,NASA Exoplanet Archive
48304653,Kepler-101 b,Kepler-101,283.255507,48.3552474,3.4876812,5.77,51.1,5667.0,1.56,1.17,927.981,2014,Planet,0,NASA Exoplanet Archive
63066410,Kepler-1346 b,Kepler-1346,291.841341,45.179185,3.40165668,1.58,3.12,6133.0,1.21,1.14,843.701,2016,Planet,0,NASA Exoplanet Archive
368435330,HD 93963 A b,HD 93963 A,162.7766969,25.641065,1.0376109,1.46954368,2.8,5908.0,1.0311,1.0844,82.3432,2022,Planet,0,NASA Exoplanet Archive
158218214,Kepler-290 c,Kepler-290,286.4100307,42.6815137,36.77031,2.7,7.75,5147.0,0.743,0.756,694.627,2014,Planet,0,NASA Exoplanet Archive
297820335,HD 18438 b,HD 18438,46.5318358,79.41858,803.0,12.1,6674.396547,3860.0,88.475,1.84,224.146,2023,Planet,0,NASA Exoplanet Archive
159098652,Kepler-250 c,Kepler-250,289.5947633,44.1418114,7.156804,2.28,5.82,5160.0,0.805,0.806,760.585,2014,Planet,0,NASA Exoplanet Archive
262715204,K2-285 c,K2-285,349.3843458,1.3001522,7.138048,3.53,15.68,4975.0,0.787,0.83,154.961,2018,Planet,0,NASA Exoplanet Archive
63126862,Kepler-42 d,Kepler-42,292.2196,44.6173667,1.865169,0.57,0.357785,3068.0,0.17,0.13,40.0595,2011,Planet,0,NASA Exoplanet Archive
270857590,Kepler-1917 b,Kepler-1917,294.1038932,45.0013533,12.90240002,1.88971288,4.23,5530.0,0.788,0.882,909.037,2021,Planet,0,NASA Exoplanet Archive
159046962,Kepler-126 b,Kepler-126,289.3473634,44.2084445,10.495711,1.52,4.11726105,6239.0,1.358,1.108,237.401,2014,Planet,0,NASA Exoplanet Archive
175290532,K2-375 b,K2-375,130.5013137,20.3593003,14.453895,2.243,5.66,5822.0,1.543,1.119,696.1,2022,Planet,0,NASA Exoplanet Archive
273373488,Kepler-309 c,Kepler-309,297.5098911,46.9614121,105.356383,2.51,6.85,4713.0,0.721,0.816,544.568,2014,Planet,0,NASA Exoplanet Archive
119605900,K2-280 b,K2-280,291.5953596,-22.2477071,19.89526,7.5,37.1,5500.0,1.28,1.03,391.537,2018,Planet,0,NASA Exoplanet Archive
230741378,SPECULOOS-3 b,SPECULOOS-3,312.3632611,33.6123832,0.71912603,0.977,0.894,2800.0,0.123,0.1009,,2024,Planet,0,NASA Exoplanet Archive
346667887,TOI-5181 A b,TOI-5181 A,280.6774738,21.6998203,3.8922295,13.34989601,330.54154328,6060.0,1.53,1.25,480.155,2025,Planet,0,NASA Exoplanet Archive
123492903,Kepler-615 b,Kepler-615,282.4506927,46.3213671,10.35584657,1.74,3.68,4655.0,0.69,0.73,330.0,2016,Planet,0,NASA Exoplanet Archive
250595183,CoRoT-31 b,CoRoT-31,94.820735,-4.4222978,4.62941,16.36514,266.9772,5700.0,2.15,1.25,2005.76,2020,Planet,0,NASA Exoplanet Archive
443616612,K2-43 c,K2-43,169.117028,-3.9754405,2.198884,2.42,6.44,3840.6,0.542,0.571,182.536,2019,Planet,0,NASA Exoplanet Archive
446549906,TOI-2107 b,TOI-2107,286.7965405,-58.6968348,2.4545467,13.57407563,263.79757781,5627.0,0.932,0.961,236.705,2024,Planet,0,NASA Exoplanet Archive
349445372,K2-157 c,K2-157,183.7514959,-5.7820178,25.942,6.08,30.8,5334.0,0.86,0.89,298.373,2025,Planet,0,NASA Exoplanet Archive
158215347,Kepler-1005 b,Kepler-1005,286.2858998,43.3205085,6.49801525,1.5,2.86,5782.0,1.06,1.0,567.806,2016,Planet,0,NASA Exoplanet Archive
164646661,Kepler-600 b,Kepler-600,283.8330588,41.9786358,23.67517607,2.9,8.75,5279.0,0.81,0.84,619.723,2016,Planet,0,NASA Exoplanet Archive
79748331,TOI-1064 c,TOI-1064,296.0039349,-47.5620305,12.226574,2.651,2.5,4734.0,0.726,0.748,68.0726,2022,Planet,0,NASA Exoplanet Archive
145368316,WASP-163 b,WASP-163,256.5375549,-10.4130071,1.6096884,13.473218,594.3421,5500.0,1.015,0.97,261.386,2018,Planet,0,NASA Exoplanet Archive
350814622,Kepler-4 b,Kepler-4,285.6154492,50.1357712,3.21346,4.002,24.472,5857.0,1.487,1.223,487.916,2009,Planet,0,NASA Exoplanet Archive
407126408,TOI-913 b,TOI-913,234.5723244,-80.8034265,11.098644,2.4528,6.59,4969.0,0.7325,0.82,65.1769,2023,Planet,0,NASA Exoplanet Archive
147677253,K2-245 b,K2-245,185.181563,-1.5909138,11.89307,4.34,17.4,5793.0,1.25,0.83,456.064,2018,Planet,0,NASA Exoplanet Archive
122142813,Kepler-1979 b,Kepler-1979,289.8429062,38.309622,18.5084526,29.33,,5942.0,0.938,1.028,1076.27,2023,Planet,0,NASA Exoplanet Archive
404598466,HIP 90988 b,HIP 90988,278.3892816,-50.211692,455.73816,13.4,668.07531151,4883.0,3.94,1.613,94.0349,2021,Planet,0,NASA Exoplanet Archive
363548415,K2-27 b,K2-27,171.5151874,1.2306237,6.771347,4.74,30.2,5246.0,0.876,0.88,249.645,2016,Planet,0,NASA Exoplanet Archive
63068329,Kepler-737 b,Kepler-737,291.8629793,46.4291614,28.59915399,1.96,4.5,3813.0,0.48,0.51,205.118,2016,Planet,0,NASA Exoplanet Archive
304142124,HD 95338 b,HD 95338,164.8563364,-56.6235564,55.082694,4.27174254,42.9,5097.0,0.868,0.848,36.9941,2020,Planet,0,NASA Exoplanet Archive
328081248,TOI-5799 b,TOI-5799,301.630179,15.9891418,4.164507,1.733,3.65,3452.0,0.321,0.325,27.8123,2024,Planet,0,NASA Exoplanet Archive
123357864,Kepler-102 e,Kepler-102,281.4824731,47.2078263,16.1456994,2.17,4.7,4909.0,0.724,0.803,107.796,2013,Planet,0,NASA Exoplanet Archive
96199085,K2-243 c,K2-243,181.1211419,-4.8991358,24.94598,2.01,4.7,6570.0,1.39,1.29,266.864,2018,Planet,0,NASA Exoplanet Archive
271881331,Kepler-1315 b,Kepler-1315,295.8215678,46.0530562,0.84338011,1.38,2.48,4861.0,0.75,0.8,480.869,2016,Planet,0,NASA Exoplanet Archive
266014079,K2-219 b,K2-219,12.8452963,8.8675474,3.901287,1.34762583,2.38,5753.0,1.189232,1.021545,325.4,2018,Planet,0,NASA Exoplanet Archive
248075138,WASP-42 b,WASP-42,192.981203,-42.0736165,4.9816819,12.576498,167.49641,5315.0,0.892,0.951,177.291,2012,Planet,0,NASA Exoplanet Archive
198153540,TOI-1798.02,TOI-1798,211.0939367,46.5192825,0.437811822,1.464,5.6,5165.0,0.78,0.87,113.181,2024,Planet,0,NASA Exoplanet Archive
150151262,TOI-712 d,TOI-712,92.9361063,-65.8258386,84.8396,2.474,6.68,4622.0,0.674,0.732,58.6212,2022,Planet,0,NASA Exoplanet Archive
376905329,K2-215 b,K2-215,18.4700795,6.1238647,8.269648,2.12381238,5.16,5704.0,0.974398,0.999987,403.964,2018,Planet,0,NASA Exoplanet Archive
352013661,Kepler-1126 c,Kepler-1126,285.691955,45.6893993,199.66876,1.45,2.7,5678.0,0.921,0.794,635.736,2023,Planet,0,NASA Exoplanet Archive
396972464,K2-12 b,K2-12,173.1919022,2.2446794,8.28246,2.44,5.2,5672.0,1.117,0.965,326.381,2015,Planet,0,NASA Exoplanet Archive
120571308,Kepler-1601 b,Kepler-1601,285.5129496,38.079839,2.20921951,0.82,0.477,5869.0,1.07,1.04,644.456,2016,Planet,0,NASA Exoplanet Archive
405717552,Kepler-514 b,Kepler-514,286.2471739,50.2423694,5.65179605,1.72,3.61,6106.0,1.44,1.28,455.336,2016,Planet,0,NASA Exoplanet Archive
286992966,HD 127506 b,HD 127506,217.6848544,35.4546059,65.78395,5.67,27.333243,4595.32,0.735766,0.73,22.5279,2022,Planet,0,NASA Exoplanet Archive
462553953,TOI-4156 b,TOI-4156,230.7808336,76.3318816,4.46189034133,2.53823825,6.98,5971.64,1.03963,1.1,213.719,2026,Planet,0,NASA Exoplanet Archive
90850770,TOI-2207 b,TOI-2207,307.5966925,-44.8876181,8.001968,11.1529358,203.41018048,6101.0,1.564,1.296,373.345,2022,Planet,0,NASA Exoplanet Archive
2760219,TOI-2382 b,TOI-2382,356.3751852,-16.114124,4.6612061,12.25141591,235.19302118,6033.0,1.417,1.26,434.92,2025,Planet,0,NASA Exoplanet Archive
134537478,KELT-14 b,KELT-14,108.301409,-42.4097623,1.7100566,19.537287,408.09372,5720.0,1.52,1.239,250.121,2016,Planet,0,NASA Exoplanet Archive
120686620,Kepler-599 b,Kepler-599,285.9115968,41.0695091,15.65562652,2.84,8.45,5127.0,0.79,0.83,558.517,2016,Planet,0,NASA Exoplanet Archive
333314269,HD 206610 b,HD 206610,325.8537599,-7.4082451,673.2,13.4,647.10188,4842.0,6.12,1.55,147.192,2009,Planet,0,NASA Exoplanet Archive
343019899,TOI-1386 b,TOI-1386,334.5041029,54.3190454,25.8401,6.2163865,45.8,5735.0,1.0235,1.0363,146.858,2024,Planet,0,NASA Exoplanet Archive
121458495,Kepler-1139 b,Kepler-1139,287.9455985,39.2305281,0.813166719,1.19,1.81,5550.0,0.91,0.94,495.156,2016,Planet,0,NASA Exoplanet Archive
394176812,Kepler-1181 b,Kepler-1181,289.7473165,39.5234131,4.89337519,1.57,3.09,6176.0,1.3,1.17,938.417,2016,Planet,0,NASA Exoplanet Archive
271355270,Kepler-1877 b,Kepler-1877,294.866924,46.7904816,2.377569914,0.624086,0.179,5615.0,0.936,1.022,285.312,2021,Planet,0,NASA Exoplanet Archive
332064670,55 Cnc e,55 Cnc,133.1468373,28.3298154,0.7365474,1.875,7.99,5172.0,0.943,0.905,12.5855,2004,Planet,0,NASA Exoplanet Archive
229047362,WASP-25 b,WASP-25,195.3597581,-27.5222273,3.7648337,13.80946422,179.25522155,5697.0,0.884,0.962,211.416,2010,Planet,0,NASA Exoplanet Archive
