mean_abs_shap,feature
0.07218876058179154,transit_sde
0.04970218449217929,transit_transit_snr
0.014423886292374325,second_frequency
0.011260115258301855,power_concentration
0.010014052154660197,kurtosis
0.008863585650444032,third_frequency
0.007753476642403128,transit_duration
0.005582598800820841,cadence_minutes
0.005565552085911973,transit_depth
0.00548687983656811,median_cadence_days
0.005467201990912281,std_cadence_days
0.005446797160530746,harmonic_ratio
0.005336395672552957,time_span_hours
0.005217246815618402,gap_fraction
0.005169993079910817,skewness
0.004890144039634164,largest_gap_days
0.004475865174632491,dominant_period
0.0043321560771543,dominant_power
0.004205612611780051,dominant_frequency
0.004180935674216464,num_observations
0.004164369267332845,max_spectral_power
0.0041323297871818454,transit_period
0.004109725495467673,second_power
0.003669630509149986,zero_crossings
0.0035143819270410884,flux_entropy
0.003420803008596323,rms
0.003374387809716881,spectral_entropy
0.0033469628572567376,observation_duration_days
0.003231233335214313,third_power
0.003119647619347887,sampling_density
0.002884376583985989,transit_epoch
0.002807986146681651,spectral_energy
0.002630600733937804,mean_gap_days
0.0024498966997490313,mean_flux
0.0021343731196228175,mean_cadence_days
0.0021067998033699738,minimum_flux
0.0018250189489661657,percentile_75
0.001816174558540165,percentile_5
0.0016774961901871205,frequency_variance
0.0016367719291073576,spectral_std
0.0016069605818888628,dynamic_range
0.0014231915803335554,percentile_25
0.0014077287360295574,mad
0.0013327220440334001,maximum_flux
0.0013283724355968778,percentile_95
0.0012928495454336169,std_flux
0.0011816355330053394,variance
0.0011734436757550838,iqr
0.0011372797174078702,mean_spectral_power
0.0,median_flux
