orbital_period_days,transit_epoch_btjd,transit_depth,transit_depth_ppm,radius_ratio,planet_radius_rsun,planet_radius_rearth,planet_radius_rjup,impact_parameter,transit_duration_hours,semi_major_axis_rs,semi_major_axis_au,equilibrium_temperature_k,transit_probability,insolation_earth,tic_id,stellar_radius,stellar_teff,stellar_mass,red_chi2,quality_flag,class_name,planet_density_gcc,atmosphere_class
9.69680796081427,1691.047695410834,0.0006786258499167386,678.6258499167386,0.02605044817113016,0.019016827164925015,0.18505274514188533,0.001954226209949189,1.7317482519077845e-15,2.6881301613921,28.2815952013837,0.09598122934659996,629.981951786963,760.5653782198191,0.0005656697458617774,158002130,0.73,4738.0,0.75,1.0112065046337124,PASS,Planet,,Unknown
2.340503651166461,2693.5976088098787,0.009695647472004581,9695.64747200458,0.09846647892559468,0.13982240007434443,1.3606117751234457,0.014368569298839857,1.0501611124146741e-15,1.1459872967223304,17.150432486261952,0.11321995209265717,1037.274607118726,1254.195902536593,0.004157435369269077,460396820,1.42,6075.0,1.43,1.0860250337095732,PASS,Planet,,Unknown
3.6106469669599237,1411.730058244494,0.003908939075960467,3908.939075960467,0.06252150890661923,0.10531310524757663,1.0248018271641681,0.010822290634556716,0.17369715899648333,3.303505705918726,8.775073717310526,0.06871685701324792,1539.6405120668685,2451.2617037698024,0.020180310366576772,152476657,1.68443,6450.0,1.393,1.0014988761728747,PASS,Planet,,Unknown
3.242390213189765,2422.9107370667107,0.0086534964016098,8653.4964016098,0.0930241710611269,0.10139634645662833,0.9866878473694503,0.010419792750922497,1.906969978766501e-05,2.9102431971737612,9.3245259049755,0.04725119581613191,1379.6601525012622,2306.8199252385184,0.013011848729131983,27318774,1.09,5958.0,1.07,1.0053371774628648,PASS,Planet,,Unknown
4.531603020824527,2450.1257929496014,0.007395051559125413,7395.051559125413,0.08599448563207651,0.10155948753148236,0.9882753731688548,0.01043655761719772,2.2916412568931034e-05,2.444385958712303,15.393309179630066,0.08451648685817433,1058.110651730854,1397.3604960435898,0.004501682554095734,262662119,1.181,5871.0,1.081,1.0139466195599884,PASS,Planet,,Unknown
1.8020737104555766,2718.7243321661235,0.004542903037475704,4542.903037475704,0.06740106110051758,0.12334394181394717,1.20025989779152,0.012675193492626653,0.05728389425144567,2.8903903520548684,5.114478138999716,0.04351229222882372,1841.931018636026,4205.7081028421635,0.041337477118074464,375654303,1.83,5891.0,1.19,1.0401366134267371,PASS,Planet,,Unknown
4.304908029388001,2854.005817223101,0.004792722070029243,4792.722070029243,0.06922948844263724,0.08099850147788556,0.7881964178813045,0.008323649007371954,0.37111488292510947,3.2486146213550966,10.174642990461905,0.055343240857309156,1307.908686091504,2114.0793019631747,0.010508971573063604,288246496,1.17,5900.0,1.19,1.0146563566642637,PASS,Planet,,Unknown
0.6073928872519214,2420.4167666435105,0.005859216507325688,5859.216507325688,0.07654551918515994,0.03903821478443157,0.3798808680673036,0.004011684065892541,2.9753527014820102e-06,1.4821615093442082,3.4282968063387034,0.008128457444861004,1445.0967450905057,6274.253183455289,0.015661675178948432,273373582,0.51,3784.0,0.54,1.0017731112963444,REVIEW,Planet,,Unknown
13.281518165694438,3519.1701993099723,0.04238088700162218,42380.88700162218,0.2058661871255748,0.20607205331270037,2.0052871507858874,0.021176582414573028,2.818171441875929e-15,2.6587123621468294,46.02423235561551,0.21418062287747777,631.9450168645003,467.36254034176704,0.0005727534259407441,272080244,1.001,6063.0,1.079,1.0033328525056815,REVIEW,Planet,,Unknown
9.600721180181537,1386.1504325980102,0.00023576173415284797,235.76173415284796,0.015354534644620395,0.01715101519804098,0.1668965288921368,0.0017624897747962852,0.3936633168171457,1.6406342268967067,41.846053860471535,0.21730375401182003,674.3300563618996,514.0270148942028,0.0007425754573858253,100990000,1.117,6169.0,1.098,1.001344205397714,REVIEW,Planet,,Unknown
9.600721180181537,1386.1504325980102,0.00023576173415284797,235.76173415284796,0.015354534644620395,0.01715101519804098,0.1668965288921368,0.0017624897747962852,0.3936633168171457,1.6406342268967067,41.846053860471535,0.21730375401182003,674.3300563618996,514.0270148942028,0.0007425754573858253,100990000,1.117,6169.0,1.098,1.001344205397714,REVIEW,Planet,,Unknown
0.7015441544934602,3313.3205863691187,0.0019767578343461976,1976.7578343461976,0.04446074486944857,0.03458090044828405,0.33650674226225213,0.003553637072767014,0.3338649959836124,1.5098128477051973,3.5755410497908815,0.012928879206468532,1888.3901916762889,6015.873360552871,0.045668575505016754,122442334,0.777785,5049.84,0.842,1.0210136102421705,REVIEW,Planet,,Unknown
9.600721180181537,1386.1504325980102,0.00023576173415284797,235.76173415284796,0.015354534644620395,0.01715101519804098,0.1668965288921368,0.0017624897747962852,0.3936633168171457,1.6406342268967067,41.846053860471535,0.21730375401182003,674.3300563618996,514.0270148942028,0.0007425754573858253,100990000,1.117,6169.0,1.098,1.001344205397714,REVIEW,Planet,,Unknown
10.323056148918734,3312.874342293048,0.013905422564177011,13905.422564177012,0.117921255777646,0.11851086205653422,1.1532291986721344,0.012178531717515624,2.80897990067738e-05,1.1187102836508154,78.80936125592177,0.3682166440811742,416.49974533752317,272.93714614878877,0.00010807107760730794,138805992,1.005,5229.0,0.878,1.002349778376769,REVIEW,Planet,,Unknown
3.4497911845580957,3313.727352171507,0.006645904760029928,6645.904760029928,0.08152241875723468,0.04353297161636332,0.42361934679883145,0.004473578762212343,0.00017693605864223594,0.6845325559330189,41.643231563818034,0.1033820708104615,466.68133364254527,516.5305703529816,0.00017034611854343273,137556197,0.534,4259.0,0.601,1.0049865521643317,REVIEW,Planet,,Unknown
3.4497911845580957,3313.727352171507,0.006645904760029928,6645.904760029928,0.08152241875723468,0.04353297161636332,0.42361934679883145,0.004473578762212343,0.00017693605864223594,0.6845325559330189,41.643231563818034,0.1033820708104615,466.68133364254527,516.5305703529816,0.00017034611854343273,137556197,0.534,4259.0,0.601,1.0049865521643317,REVIEW,Planet,,Unknown
1.0170637668337552,3313.731175329398,0.011192755004451911,11192.755004451912,0.1057958175187087,0.08304971675218634,0.8081567937155252,0.008534438042604923,0.0004713387959801849,0.6166070124010281,13.948642743516078,0.05090508348996591,996.8215128445178,1542.085674321179,0.003545848121521889,137637249,0.785,5265.0,0.793,1.005360181942675,REVIEW,Planet,,Unknown
1.0170637668337552,3313.731175329398,0.011192755004451911,11192.755004451912,0.1057958175187087,0.08304971675218634,0.8081567937155252,0.008534438042604923,0.0004713387959801849,0.6166070124010281,13.948642743516078,0.05090508348996591,996.8215128445178,1542.085674321179,0.003545848121521889,137637249,0.785,5265.0,0.793,1.005360181942675,REVIEW,Planet,,Unknown
1.478487190483855,3508.0275816497833,0.004468647705320499,4468.647705320499,0.06684794466040447,0.0701903418934247,0.6830222169649157,0.007212970103994002,3.058637855280098e-06,3.3268993692658104,3.6748531040509205,0.017938611684769366,2173.7092399609437,5853.295775901622,0.08017820460037176,138219758,1.05,5893.0,1.04,1.0008126995896571,REVIEW,Planet,,Unknown
5.967387247128799,2505.1866172515292,9.219478610315934e-05,92.19478610315934,0.009601811605273212,0.009793847837378676,0.0953039333055319,0.001006445185312545,0.00012106867579579412,2.836959135826043,16.23390428525377,0.07698084944258769,1050.7097681527996,1325.004864697831,0.0043770509336658854,80224448,1.02,5987.0,1.04,1.0032397255745573,REVIEW,Planet,,Unknown
5.64596130112605,2392.918748305674,0.0048858339876412535,4885.833987641254,0.06989874095891323,0.05242405571918492,0.5101384862033884,0.005387253237870599,0.40105497124056994,0.6670430904804039,64.14060090513391,0.22364224020597567,440.5741739579825,335.35704136626697,0.00013530899354172293,158729099,0.75,4990.0,0.8,1.0020367746853067,REVIEW,Planet,,Unknown
1.478487190483855,3508.0275816497833,0.004468647705320499,4468.647705320499,0.06684794466040447,0.0701903418934247,0.6830222169649157,0.007212970103994002,3.058637855280098e-06,3.3268993692658104,3.6748531040509205,0.017938611684769366,2173.7092399609437,5853.295775901622,0.08017820460037176,138219758,1.05,5893.0,1.04,1.0008126995896571,REVIEW,Planet,,Unknown
1.478487190483855,3508.0275816497833,0.004468647705320499,4468.647705320499,0.06684794466040447,0.0701903418934247,0.6830222169649157,0.007212970103994002,3.058637855280098e-06,3.3268993692658104,3.6748531040509205,0.017938611684769366,2173.7092399609437,5853.295775901622,0.08017820460037176,138219758,1.05,5893.0,1.04,1.0008126995896571,REVIEW,Planet,,Unknown
