tic_id,period,epoch,rp_rs,inclination,a_rs,red_chi2,rmse,r2,bic
158002130,9.69680796081427,1691.047695410834,0.02605044817113016,90.0,28.2815952013837,1.0112065046337124,0.0011002373112506622,-0.0010759302996883324,7895.796785650895
460396820,2.340503651166461,2693.5976088098787,0.09846647892559468,90.0,17.150432486261952,1.0860250337095732,0.004027351174717491,0.30839719533992094,1172.9512278883026
152476657,3.6106469669599237,1411.730058244494,0.06252150890661923,88.86579139260635,8.775073717310526,1.0014988761728747,0.0016614559537783912,0.3086790701866208,6918.4621551216815
27318774,3.242390213189765,2422.9107370667107,0.0930241710611269,89.99988282371399,9.3245259049755,1.0053371774628648,0.019788898523048517,0.014676872787811601,7842.179480756251
262662119,4.531603020824527,2450.1257929496014,0.08599448563207651,89.99991470230952,15.393309179630066,1.0139466195599884,0.0038247690878633177,0.21170179002666734,3309.363540315194
375654303,1.8020737104555766,2718.7243321661235,0.06740106110051758,89.35825436890705,5.114478138999716,1.0401366134267371,0.005368474636713083,0.09550024694801984,8132.899506724391
288246496,4.304908029388001,2854.005817223101,0.06922948844263724,87.90970217873056,10.174642990461905,1.0146563566642637,0.0024129342434360624,0.205392125014084,10634.206081098775
273373582,0.6073928872519214,2420.4167666435105,0.07654551918515994,89.99995027409761,3.4282968063387034,1.0017731112963444,0.03710636018900121,0.009533697724868784,4600.187560446837
272080244,13.281518165694438,3519.1701993099723,0.2058661871255748,90.0,46.02423235561551,1.0033328525056815,0.03409892886968669,0.052994053614863756,3423.862093751086
100990000,9.600721180181537,1386.1504325980102,0.015354534644620395,89.46098670667361,41.846053860471535,1.001344205397714,0.00031887395024114977,0.010993309221764114,4802.729316666338
100990000,9.600721180181537,1386.1504325980102,0.015354534644620395,89.46098670667361,41.846053860471535,1.001344205397714,0.00031887395024114977,0.010993309221764114,4802.729316666338
122442334,0.7015441544934602,3313.3205863691187,0.04446074486944857,84.64222009303492,3.5755410497908815,1.0210136102421705,0.006973440534410443,0.032638996410317866,4360.643264359812
100990000,9.600721180181537,1386.1504325980102,0.015354534644620395,89.46098670667361,41.846053860471535,1.001344205397714,0.00031887395024114977,0.010993309221764114,4802.729316666338
138805992,10.323056148918734,3312.874342293048,0.117921255777646,89.99997957822643,78.80936125592177,1.002349778376769,0.032913549752242734,0.006789228429151972,3164.555404705766
137556197,3.4497911845580957,3313.727352171507,0.08152241875723468,89.99975655853248,41.643231563818034,1.0049865521643317,0.0167945408758359,0.010472222505380824,2532.4637872800604
137556197,3.4497911845580957,3313.727352171507,0.08152241875723468,89.99975655853248,41.643231563818034,1.0049865521643317,0.0167945408758359,0.010472222505380824,2532.4637872800604
137637249,1.0170637668337552,3313.731175329398,0.1057958175187087,89.99806391745547,13.948642743516078,1.005360181942675,0.0438679692331007,0.02284164795647048,1348.8931250359522
137637249,1.0170637668337552,3313.731175329398,0.1057958175187087,89.99806391745547,13.948642743516078,1.005360181942675,0.0438679692331007,0.02284164795647048,1348.8931250359522
138219758,1.478487190483855,3508.0275816497833,0.06684794466040447,89.99995231182439,3.6748531040509205,1.0008126995896571,0.026169497470607674,0.005487614856829692,9998.107621332498
80224448,5.967387247128799,2505.1866172515292,0.009601811605273212,89.99957270142582,16.23390428525377,1.0032397255745573,0.00037144126505108,-0.001392412229063389,43911.05576229163
158729099,5.64596130112605,2392.918748305674,0.06989874095891323,89.64174163297471,64.14060090513391,1.0020367746853067,0.008820379619489855,0.013205500420590877,2736.9824740685444
138219758,1.478487190483855,3508.0275816497833,0.06684794466040447,89.99995231182439,3.6748531040509205,1.0008126995896571,0.026169497470607674,0.005487614856829692,9998.107621332498
138219758,1.478487190483855,3508.0275816497833,0.06684794466040447,89.99995231182439,3.6748531040509205,1.0008126995896571,0.026169497470607674,0.005487614856829692,9998.107621332498
