tic_id,tls_period,fit_period,period_diff_pct,period_consistency,red_chi2,fit_quality,r2,r2_quality,tls_depth,fit_depth,depth_diff_pct,depth_consistency,transit_snr,sde,distinct_transit_count,transit_count_quality,detector,detector_quality,quality_score,validation_flag
158002130,9.697181747690202,9.69680796081427,0.0038545928668429087,0.9996145407133157,1.0112065046337124,0.9943967476831438,-0.0010759302996883324,0.0,0.9986861344849558,0.0006786258499167364,99.93204813539674,0,13.124770213676527,16.578593438554456,2,0.4,TLS,0.7,0.6085028220991149,PROMISING
460396820,2.3397976023103286,2.340503651166461,0.030175638073798007,0.9969824361926202,1.0860250337095732,0.9569874831452134,0.30839719533992094,0.30839719533992094,0.9896430176358653,0.009695647472004576,99.02028839700539,0,51.843232620797544,16.932605386887882,4,0.8,TLS,0.7,0.6847520591354466,PROMISING
152476657,3.6119376981454336,3.6106469669599237,0.035735145325808425,0.9964264854674192,1.0014988761728747,0.9992505619135627,0.3086790701866208,0.3086790701866208,0.9949937582867358,0.00390893907596046,99.60713933696516,0,69.24880894932559,16.56164114451305,6,1.0,TLS,0.7,0.7152211223732385,CONFIRMED
27318774,3.243644060654617,3.242390213189765,0.038655519576312476,0.9961344480423687,1.0053371774628648,0.9973314112685676,0.014676872787811601,0.014676872787811601,0.9867066628349829,0.00865349640160984,99.12299199675547,0,14.59468380757685,14.959567212009405,8,1.0,TLS,0.7,0.6705679957459059,PROMISING
262662119,4.532162013048873,4.531603020824527,0.012333897657158838,0.9987666102342841,1.0139466195599884,0.9930266902200058,0.21170179002666734,0.21170179002666734,0.9899213038155233,0.007395051559125454,99.25296571246399,0,33.93970656517353,14.811830707581716,3,0.6,TLS,0.7,0.6597035936175726,PROMISING
375654303,1.8010539160877095,1.8020737104555766,0.05662208991957134,0.9943377910080429,1.0401366134267371,0.9799316932866314,0.09550024694801984,0.09550024694801984,0.9935357340751853,0.004542903037475732,99.54275393610232,0,36.83350803333172,14.674431399179909,13,1.0,TLS,0.7,0.6778924081158716,PROMISING
288246496,4.302186266590238,4.304908029388001,0.06326464334888275,0.9936735356651117,1.0146563566642637,0.9926718216678682,0.205392125014084,0.205392125014084,0.9936199994262775,0.004792722070029232,99.51765040228693,0,61.21239260037309,16.245795704916564,7,1.0,TLS,0.7,0.6973951580853576,PROMISING
273373582,0.6073830575524004,0.6073928872519214,0.0016183690668990043,0.9998381630933101,1.0017731112963444,0.9991134443518278,0.009533697724868784,0.009533697724868784,0.9925496673728422,0.005859216507325682,99.40968027092948,0,7.755090045234968,11.085018104161755,43,1.0,TLS,0.7,0.6711679565200148,PROMISING
272080244,13.28208862207778,13.281518165694438,0.004294929807901575,0.9995705070192098,1.0033328525056815,0.9983335737471593,0.052994053614863756,0.052994053614863756,0.9661125588359797,0.042380887001622236,95.61325576259098,0,9.96871618159076,9.535651898475525,2,0.4,TLS,0.7,0.6174251282338218,PROMISING
100990000,9.581046366528344,9.600721180181537,0.20535140840073096,0.9794648591599269,1.001344205397714,0.999327897301143,0.010993309221764114,0.010993309221764114,0.9997199591750052,0.00023576173415285062,99.97641722244424,0,8.836414640577472,9.485988836829423,2,0.4,TLS,0.7,0.6063471854985321,PROMISING
